Date,Open,High,Low,Close,Adj Close,Volume,Dollar
27-05-2008,271.462494,280.249542,270.909576,279.40274,279.40274,7759978,43.51
28-05-2008,282.909576,284.677948,279.50235,283.059021,283.059021,8131164,43.51
29-05-2008,286.321808,291.8461,285.529755,290.411469,290.411469,9726320,43.51
30-05-2008,290.645599,293.858551,289.564636,291.806244,291.806244,6474578,43.51
02-06-2008,290.162415,290.854797,284.568359,286.426392,286.426392,7375944,43.51
03-06-2008,287.173615,289.166138,279.25827,282.59079,282.59079,8642875,43.51
04-06-2008,281.609467,287.920807,281.220917,285.041595,285.041595,6751612,43.51
05-06-2008,287.462524,292.922058,287.029144,292.055298,292.055298,7862762,43.51
06-06-2008,288.792542,289.275726,282.441345,282.441345,282.441345,9504492,43.51
09-06-2008,282.96936,283.93573,271.681671,277.893402,277.893402,10616244,43.51
10-06-2008,273.753906,278.366608,272.36908,276.050293,276.050293,7342218,43.51
11-06-2008,277.081421,277.629364,271.21344,271.582031,271.582031,7654383,43.51
12-06-2008,273.355408,277.95813,272.418915,275.442566,275.442566,11024368,43.51
13-06-2008,279.696625,286.775085,279.621918,284.687927,284.687927,12415161,43.51
16-06-2008,282.192261,288.46875,282.192261,285.33548,285.33548,7112159,43.51
17-06-2008,287.098877,287.955658,283.128754,283.666748,283.666748,6951760,43.51
18-06-2008,281.200989,283.432617,278.53598,280.139954,280.139954,6787747,43.51
19-06-2008,276.638092,280.837341,274.376556,279.054047,279.054047,11408803,43.51
20-06-2008,277.450043,277.450043,271.238342,272.194733,272.194733,12011052,43.51
23-06-2008,271.661743,275.542206,269.997986,271.587036,271.587036,7299056,43.51
24-06-2008,271.552155,274.565857,266.550903,270.137451,270.137451,9380228,43.51
25-06-2008,271.467468,277.858521,270.819916,274.471222,274.471222,8275302,43.51
26-06-2008,271.034088,271.44754,263.143677,263.422638,263.422638,11361426,43.51
27-06-2008,262.854767,264.010437,256.583252,263.049042,263.049042,10935837,43.51
30-06-2008,265.240814,267.995483,260.553375,262.227112,262.227112,7558827,43.51
01-07-2008,258.819885,267.35788,257.534698,266.366608,266.366608,9956982,43.51
02-07-2008,267.253265,269.18103,262.047791,262.53595,262.53595,8477658,43.51
03-07-2008,264.448792,268.608185,262.765106,267.497345,267.497345,4818995,43.51
07-07-2008,270.137451,273.474945,266.799957,270.939453,270.939453,8542299,43.51
08-07-2008,271.975555,276.55838,268.99176,276.229614,276.229614,9901776,43.51
09-07-2008,274.351654,276.80249,269.355377,269.763855,269.763855,8339140,43.51
10-07-2008,271.482422,273.72403,264.36908,269.275696,269.275696,8695873,43.51
11-07-2008,267.248291,268.742676,258.745148,265.90332,265.90332,10000143,43.51
14-07-2008,268.493622,269.021637,256.762604,259.83606,259.83606,8882770,43.51
15-07-2008,257.176056,262.765106,249.61438,257.08139,257.08139,12187511,43.51
16-07-2008,256.060211,267.248291,254.346649,266.799957,266.799957,9519950,43.51
17-07-2008,266.082672,267.522247,261.270691,265.723999,265.723999,17640675,43.51
18-07-2008,248.244522,248.55835,238.202164,239.761322,239.761322,22669453,43.51
21-07-2008,239.54213,241.141144,231.980484,233.524689,233.524689,11847241,43.51
22-07-2008,232.488571,239.228317,231.930664,237.664169,237.664169,9418170,43.51
23-07-2008,239.905777,247.686615,238.157333,243.696564,243.696564,9824889,43.51
24-07-2008,247.422592,247.507278,236.921951,236.921951,236.921951,7108344,43.51
25-07-2008,242.33667,245.644272,239.850983,245.071411,245.071411,6390865,43.51
28-07-2008,245.126205,245.126205,236.677872,237.669159,237.669159,6343689,43.51
29-07-2008,238.755081,242.72023,238.107513,240.652969,240.652969,5626611,43.51
30-07-2008,241.843506,242.102539,235.522202,240.448746,240.448746,7007568,43.51
31-07-2008,236.393936,239.547119,234.839767,235.990448,235.990448,5751678,43.51
01-08-2008,235.372772,235.72644,230.386459,233.056442,233.056442,6038349,43.51
